nom,secteur,ville,email,telephone,website,rating,avis,statut,date_ajout,notes
Dermolift,estheticienne,Paris 1,,,https://dermolift.fr/,5,,à_contacter,2026-05-12,
Institut de beauté - Alixe Fougères Lourmel - Paris 15,estheticienne,Paris 1,eboulanger@alixe-fougeres.com,01 45 75 33 37,http://www.alixe-fougeres.com/,4.7,,à_contacter,2026-05-12,
Institut Carline,estheticienne,Paris 1,,01 45 57 23 86,https://www.institutcarline.fr/linstitut/,5,,à_contacter,2026-05-12,
Centre beauté honoré,estheticienne,Paris 1,,01 42 21 41 46,https://centre-beaute-honore.com/,3.9,,à_contacter,2026-05-12,
"Mani Kua | Institut de beauté, onglerie, épilation, soin du visage et minceur",estheticienne,Paris 1,contact@manikua.com,01 83 87 88 88,http://www.manikua.com/,4.8,,à_contacter,2026-05-12,
Yves Rocher,estheticienne,Paris 1,contact@yves-rocher.fr,01 40 28 41 67,https://www.yves-rocher.fr/magasins-instituts-de-beaute/paris-rivoli/S-FRYROC787?utm_source=google&utm_medium=gmb&utm_campaign=paris_rivoli-fr0787,4,,à_contacter,2026-05-12,
Beautician The fée'minin instinct,estheticienne,Paris 1,,01 53 79 97 37,http://www.instinct-fee-minin.fr/,4.9,,à_contacter,2026-05-12,
Chérine Beauté - Drainage lymphatique - Renata Franca,estheticienne,Paris 1,efalguieres@guinot.com,01 45 57 76 87,http://www.guinot.com/,4.7,,à_contacter,2026-05-12,
Spa Arbre à Sens Paris,estheticienne,Paris 1,info@arbreasens.fr,01 40 15 92 80,https://www.arbreasens.fr/,4.7,,à_contacter,2026-05-12,
FaceKult Studio,estheticienne,Paris 2,kultit@facekult.com,01 83 98 87 43,https://www.facekult.com/,4.7,,à_contacter,2026-05-12,
EstheClinic Paris 2e - Sentier,estheticienne,Paris 2,emilie@estheclinic.fr,01 42 33 21 14,https://www.estheclinic.fr/,4.9,,à_contacter,2026-05-12,
Institut Derya,estheticienne,Paris 2,soniaalam@instagram.com,06 23 36 86 65,https://instagram.com/institutderya?igshid=YmMyMTA2M2Y=,4.6,,à_contacter,2026-05-12,
Fil'me in,estheticienne,Paris 2,,01 40 26 83 04,https://fil-me-in.fr/,4.5,,à_contacter,2026-05-12,
Lea Beauté,estheticienne,Paris 2,,01 73 75 06 59,http://leabeaute.fr/,4.8,,à_contacter,2026-05-12,
Ylinne,estheticienne,Paris 2,,01 73 71 84 13,https://ylinne.mytreatwell.fr/,4.7,,à_contacter,2026-05-12,
Atelier de Beauté Anne Semonin,estheticienne,Paris 2,anguyen@annesemonin.com,01 42 61 09 46,https://www.annesemonin.com/pages/latelier-parisien,4.7,,à_contacter,2026-05-12,
Vanilla Beauty Bar,estheticienne,Paris 2,,09 50 25 48 86,https://www.vanilla-paris.fr/,4.2,,à_contacter,2026-05-12,
"Maido institut 3,rue d'Amboise 75002 Paris",estheticienne,Paris 2,contact@maido-institut.fr,07 64 82 73 29,http://www.maido-institut.fr/,4.9,,à_contacter,2026-05-12,
Beauty Linda Bar,estheticienne,Paris 2,,09 83 20 32 36,https://beauty-linda-bar.mytreatwell.fr/,4.6,,à_contacter,2026-05-12,
Seasonly - Skin Studio Paris Lune,estheticienne,Paris 2,anne-claire.pintart@seasonly.fr,06 65 96 52 31,https://seasonly.fr/collections/soin-personnalise,4.8,,à_contacter,2026-05-12,
Better Than Cream,estheticienne,Paris 2,,09 82 68 26 11,http://www.betterthancream.co/,5,,à_contacter,2026-05-12,
Institut de beauté Paris 75002 Bodyminute,estheticienne,Paris 2,,01 42 33 16 24,https://www.bodyminute.com/instituts/paris-3-3380/,4,,à_contacter,2026-05-12,
Point Soleil Paris Opéra,estheticienne,Paris 2,contact@pointsoleil.com,01 75 57 67 12,https://www.pointsoleil.com/paris-opera,4.1,,à_contacter,2026-05-12,
Sultana of Saba,estheticienne,Paris 2,alice@lasultanedesaba.com,01 40 41 90 95,https://www.lasultanedesaba.com/,4.5,,à_contacter,2026-05-12,
L'Atelier du Sourcil - Paris 2,estheticienne,Paris 2,cbarbereau@atelierdusourcil.com,01 78 90 15 15,https://www.atelierdusourcil.com/pages/trouvez-atelier-du-sourcil-le-plus-proche-de-chez-vous-prendre-rendez-vous?_gl=1*1gf1oik*_up*MQ..*_ga*NDgyNTQ2MDEuMTcxNTYwMzczOQ..*_ga_97BN7HGWQP*MTcxNTYwMzczOC4xLjAuMTcxNTYwMzc0My4wLjAuMA..&mot-cl%C3%A9utm_source=google&utm_lieu=ADS-Paris-75002#!/l/paris/6-rue-dussoubs/824004,4.6,,à_contacter,2026-05-12,
Les Vernis Parisiens,estheticienne,Paris 2,,09 54 83 81 96,http://www.lesvernisparisiens.fr/,4.3,,à_contacter,2026-05-12,
Flagship Oh My Cream ! Montmartre - Beauté Clean,estheticienne,Paris 2,mmassias@ohmycream.com,01 72 38 91 36,https://www.ohmycream.com/,4.5,,à_contacter,2026-05-12,
Body Minute,estheticienne,Paris 2,,01 42 66 67 10,http://www.bodyminute.com/,3.7,,à_contacter,2026-05-12,
"Thaï Harmonie Spa, Paris 02",estheticienne,Paris 2,info@thaiharmoniespa.com,01 40 41 99 30,https://thaiharmoniespa.com/,4.1,,à_contacter,2026-05-12,
CapsulesByLou,estheticienne,Paris 2,,01 42 61 53 65,http://capsulesbylou.fr/,4,,à_contacter,2026-05-12,
Opéraline Institute Paris,estheticienne,Paris 2,,01 58 05 47 20,https://www.operaline.fr/,3.4,,à_contacter,2026-05-12,
Hammam des Bains du Marais,estheticienne,Paris 2,soledad@bainsdumarais.fr,01 48 87 20 20,https://www.bainsdumarais.fr/,4.1,,à_contacter,2026-05-12,
Harmonie Institut de beauté,estheticienne,Paris 3,,01 42 72 63 60,http://www.harmonieinstitutparis.com/,4.8,,à_contacter,2026-05-12,
LA REINE | MASSAGE EPILATION PARIS 75003 | ONGLERIE PARIS 03,estheticienne,Paris 3,,01 42 71 29 82,https://www.cclareine.fr/,4.7,,à_contacter,2026-05-12,
I LOVE BELLA Paris-3eme,estheticienne,Paris 3,soniaalam@instagram.com,09 82 38 08 54,https://instagram.com/ilovebella63?igshid=NTc4MTIwNjQ2YQ==,4.7,,à_contacter,2026-05-12,
BLUE CORNER institut™ PARIS,estheticienne,Paris 3,direction@bluecorner-institut.com,01 82 28 39 29,http://www.bluecorner-institut.com/,4.4,,à_contacter,2026-05-12,
Gloss’Up Paris 3eme,estheticienne,Paris 3,,09 64 03 23 19,https://glossup.smartbooker.fr/glossup-charlot,4.4,,à_contacter,2026-05-12,
Institut de beauté Paris 75003 Paris,estheticienne,Paris 3,,01 42 78 25 99,https://www.bodyminute.com/instituts/paris-31-3588/?utm_source=gmb,3.7,,à_contacter,2026-05-12,
Institut de beauté Paris 75003 Bodyminute,estheticienne,Paris 3,,01 42 71 35 60,https://www.bodyminute.com/instituts/paris-54-3690/?utm_source=gmb,4.3,,à_contacter,2026-05-12,
L'Atelier du Sourcil - Paris 3,estheticienne,Paris 3,cbarbereau@atelierdusourcil.com,01 44 61 51 51,https://www.atelierdusourcil.com/?mot-cl%C3%A9utm_source=google&utm_lieu=ADS-Paris-75003,4.5,,à_contacter,2026-05-12,
Eyedesigner,estheticienne,Paris 3,contact@eyedesigner.fr,01 42 72 31 99,https://www.eyedesigner.fr/salons/marais,4.8,,à_contacter,2026-05-12,
BEAU SOIN PARIS - Luxury Facialiste & Experte Kobido | Drainage Lymphatique,estheticienne,Paris 3,,06 87 54 16 85,https://beausoinparis.fr/,5,,à_contacter,2026-05-12,
Paris 3e Show me nails & beauty - Marais - BIAB BAR (ouverture le dimanche à 10h30),estheticienne,Paris 3,,09 82 69 36 87,https://showmenails.com/,3.9,,à_contacter,2026-05-12,
POMME ROUGE nail bar & institut de beauté,estheticienne,Paris 3,,09 54 75 91 12,http://www.pommerougenailbar.com/,4.7,,à_contacter,2026-05-12,
Sokha Royal Spa Quincampoix - Thaï massage & Spa,estheticienne,Paris 3,,01 40 29 98 25,https://sokharoyalspabeaubourg.simplybook.it/,4.8,,à_contacter,2026-05-12,
JFG Clinic Paris 3,estheticienne,Paris 3,angers@jfg-clinic.com,01 42 72 61 63,https://www.jfg-clinic.com/nos-centres/jfg-clinic-paris-3e,4.6,,à_contacter,2026-05-12,
Nue,estheticienne,Paris 3,tim@linktr.ee,,http://linktr.ee/nuesalon,4.7,,à_contacter,2026-05-12,
My Blend,estheticienne,Paris 3,serviceclient@my-blend.com,01 88 80 18 76,http://www.my-blend.com/,5,,à_contacter,2026-05-12,
Barbarella institut,estheticienne,Paris 3,,01 43 31 53 00,http://beauty15.fr/,5,,à_contacter,2026-05-12,
Studio Fauve,estheticienne,Paris 3,marine@fauve-paris.com,,https://fauve-paris.com/,4.7,,à_contacter,2026-05-12,
Beauté d’ange,estheticienne,Paris 3,,01 43 46 00 49,http://www.beautedange.com/,4.4,,à_contacter,2026-05-12,
Clinique des Champs Elysées Paris 3ème Sébastopol - Médecine esthétique,estheticienne,Paris 3,jocelyn.isambert@crpce.com,01 89 45 99 93,https://www.crpce.com/clinique-esthetique-paris-3eme?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing,4.4,,à_contacter,2026-05-12,
STUDIO LBB,estheticienne,Paris 3,soniaalam@instagram.com,,https://www.instagram.com/studio.lbb,4.7,,à_contacter,2026-05-12,
L’Instant Barbier Paris 3 – Coiffeur Barbier Homme Haut de Gamme Le Marais,estheticienne,Paris 3,,01 45 35 47 22,https://www.linstantbarbier.fr/,4.9,,à_contacter,2026-05-12,
Yves Rocher,estheticienne,Paris 3,contact@yves-rocher.fr,01 48 87 03 33,https://www.yves-rocher.fr/magasins-instituts-de-beaute/paris-republique/S-FRYROC386?utm_source=google&utm_medium=gmb&utm_campaign=paris_republique-fr0386,3.8,,à_contacter,2026-05-12,
Institut Berry - Paris 4,estheticienne,Paris 4,contact@institutberry.fr,01 43 36 72 30,https://institutberry.fr/,4.9,,à_contacter,2026-05-12,
Thalgo - Institut de Beauté Paris 4,estheticienne,Paris 4,,01 83 64 70 75,https://institut-beaute-paris-4.fr/,5,,à_contacter,2026-05-12,
Institut Ivanka Beauté - Paris 4,estheticienne,Paris 4,,09 81 47 32 83,https://widget.treatwell.fr/salon/institut-ivanka-beaute-paris-4/,3.5,,à_contacter,2026-05-12,
MITHRIL [beauty lounge] Bastille - Institut de beauté Paris 4,estheticienne,Paris 4,,07 49 07 09 09,https://mithrilbeautylounge.fr/,5,,à_contacter,2026-05-12,
Bel Homme Institut,estheticienne,Paris 4,contact@belhommeinstitut.com,,https://www.belhommeinstitut.com/,5,,à_contacter,2026-05-12,
Innerskin Paris - Marais | Centre d'esthétique médicale,estheticienne,Paris 4,,01 40 24 58 80,https://www.innerskin.com/,4.7,,à_contacter,2026-05-12,
Ségo'Spa,estheticienne,Paris 4,,01 42 78 90 27,http://www.segospa.com/,4.7,,à_contacter,2026-05-12,
Institut de beauté Bodyminute,estheticienne,Paris 4,,01 44 61 03 03,https://www.bodyminute.com/instituts/paris-34-3602/,4,,à_contacter,2026-05-12,
L’institut Beauté Payot-LPG,estheticienne,Paris 5,,07 65 67 02 73,http://www.linstitut-paris.fr/,4.7,,à_contacter,2026-05-12,
La Ritournelle,estheticienne,Paris 5,,01 43 54 29 05,http://laritourenelle.weebly.com/nail-bar.html,4.5,,à_contacter,2026-05-12,
Sallybeaute,estheticienne,Paris 5,,09 84 40 33 34,https://www.sallybeaute.fr/,4.7,,à_contacter,2026-05-12,
Institut Reine Blanche | Institut de Beauté Paris 5,estheticienne,Paris 5,,01 47 07 31 53,https://institut-reineblanche.fr/,4.2,,à_contacter,2026-05-12,
Institut Peaufinée,estheticienne,Paris 5,,01 43 31 58 80,http://institutpeaufinee.fr/,5,,à_contacter,2026-05-12,
Zinalaïa Bien être Beauté,estheticienne,Paris 5,,06 23 32 38 47,http://www.espacebienetre.net/,4.2,,à_contacter,2026-05-12,
Naturoderma,estheticienne,Paris 5,,06 66 50 20 39,https://www.naturodermaparis.fr/,5,,à_contacter,2026-05-12,
Institut Beauté 5,estheticienne,Paris 5,,01 45 80 16 82,https://www.facebook.com/151093114742977,4.8,,à_contacter,2026-05-12,
MJ nails beauté,estheticienne,Paris 5,,01 73 74 13 00,https://mj-nailsbeaute.mytreatwell.fr/,4.7,,à_contacter,2026-05-12,
Jane's Beauty - Institut de Beauté Paris 5,estheticienne,Paris 5,,01 45 32 22 02,https://janesbeauty.experience-beaute.com/,4.7,,à_contacter,2026-05-12,
LE TEMPLE DU REGARD,estheticienne,Paris 5,,09 87 54 04 28,https://letempleduregard.com/,4.6,,à_contacter,2026-05-12,
Institut de beauté Bodyminute,estheticienne,Paris 5,,01 43 26 59 96,https://www.bodyminute.com/instituts/paris-24-3522/,4.5,,à_contacter,2026-05-12,
Helia Nails,estheticienne,Paris 5,,09 84 52 12 55,https://helianails-paris.com/,4.7,,à_contacter,2026-05-12,
AURA Soins,estheticienne,Paris 6,,06 30 89 71 75,http://aurasoins.fr/,5,,à_contacter,2026-05-12,
Institut Elsa Weiser,estheticienne,Paris 6,contact@elsaweiser.com,01 43 54 60 47,https://www.elsaweiser.com/,4.8,,à_contacter,2026-05-12,
Alex'sthétik,estheticienne,Paris 6,,01 40 47 58 69,http://www.alexsthetik.fr/,4.9,,à_contacter,2026-05-12,
Esthétiquement Vôtre,estheticienne,Paris 6,,01 44 41 00 18,http://www.esthetiquement-votre.fr/,4.9,,à_contacter,2026-05-12,
Beauty Lili Paris,estheticienne,Paris 6,,01 46 33 03 18,http://www.lilibeaute-esthetique.com/,4.4,,à_contacter,2026-05-12,
Salon du Regard,estheticienne,Paris 6,,01 42 49 78 41,http://salonduregard.com/,4.4,,à_contacter,2026-05-12,
Facemodeling Paris 6 - Soin du visage & Institut de beauté,estheticienne,Paris 6,,06 34 24 27 91,https://facemodeling.fr/,4.9,,à_contacter,2026-05-12,
Institut de beauté Paris 75006 Bodyminute,estheticienne,Paris 6,,01 46 33 37 90,https://www.bodyminute.com/instituts/paris-62-3745/?utm_source=gmb,4.3,,à_contacter,2026-05-12,
Alexandra Jamet Paris | Turbinada | Miracle Touch & Drainage Lymphatique - Méthode Renata França |,estheticienne,Paris 6,,,https://www.renataparis.fr/,5,,à_contacter,2026-05-12,
Institut de beauté Paris 75006 Bodyminute,estheticienne,Paris 6,,01 56 81 65 15,https://www.bodyminute.com/instituts/paris-4-3381/?utm_source=gmb,4.5,,à_contacter,2026-05-12,
Espace JIKI's beauté,estheticienne,Paris 6,infos@jikisbeaute.com,09 54 26 56 39,https://jikisbeaute.com/,5,,à_contacter,2026-05-12,
L'Atelier du Sourcil - Paris 6,estheticienne,Paris 6,cbarbereau@atelierdusourcil.com,01 42 22 10 12,https://www.atelierdusourcil.com/?mot-cl%C3%A9utm_source=google&utm_lieu=ADS-Paris-75006,4.8,,à_contacter,2026-05-12,
Free Persephone | Nail Bar. Massages. Facials.,estheticienne,Paris 6,commercial@freepersephone.com,01 42 22 13 04,http://freepersephone.com/,4.6,,à_contacter,2026-05-12,
Janthra Spa® - Paris 75 I Thaï Spa I Massage Paris I Massage Thaï,estheticienne,Paris 6,contact@janthra-spa.com,01 43 22 02 57,https://www.janthra-spa.com/,4.8,,à_contacter,2026-05-12,
Profil Beaute,estheticienne,Paris 6,,01 45 48 26 46,https://www.profilbeaute.fr/,4.7,,à_contacter,2026-05-12,
Institut de beauté Evsa Studio,estheticienne,Paris 6,,07 69 76 94 13,http://www.evsa-studio.fr/,4.1,,à_contacter,2026-05-12,
sandrine Framezelle Esthéticienne Facialiste Chez MUST INSTITUTE,estheticienne,Paris 6,,06 13 89 89 63,https://sandrine-framezelle-facialiste.com/,5,,à_contacter,2026-05-12,
Institut de beauté Paris 75006 Bodyminute,estheticienne,Paris 6,,01 42 84 19 02,https://www.bodyminute.com/instituts/paris-41-3634/?utm_source=gmb,3.6,,à_contacter,2026-05-12,
Muse Paris 6,estheticienne,Paris 6,,01 88 61 59 20,https://musenailsbar.com/,4.9,,à_contacter,2026-05-12,
Effiscience Paris,estheticienne,Paris 6,,07 67 57 21 70,http://www.celsyus.effiscience.paris/,4.3,,à_contacter,2026-05-12,
CALMA PARIS,estheticienne,Paris 6,,06 77 16 65 66,https://calmaparis.fr/,4.5,,à_contacter,2026-05-12,
